link,title,description,published,date_updated
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vendor-locations,Abandoned Vehicle in Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vendor-zones-and-locations,Sidewalk Repair - Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::special-tree-permit,Litter Can in Last 30 Days,"This dataset provides applications for special tree removal.  Special trees are defined as having a circumference equal to or greater than 44”. Prior to their removal, a permit must be obtained from DDOT’s Urban Forestry Division. More details on the application process can be found by visiting: https://ddot.dc.gov.",2014-10-30 15:53:20+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::annual-public-space-rental-permits,Parking Meter in Last 30 Days,Annual Public Space Rental Permits,2014-10-30 16:10:02+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::occupancy-permits-via-ddot-tops,Crime Incidents in the Last 30 Days,The District Department of Transportation has management and oversight responsibility for the use and occupancy of the public space.  This data sets shows occupancy permits from DDOT's Transportation Online Permitting System. https://tops.ddot.dc.gov/,2014-11-05 14:06:54+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::construction-permits-via-ddot-tops,DOEE Services in Last 30 Days,"The dataset contains locations and attributes of above ground permits applied for and approved by the District Department of Transportation. They are newly occupied constructions and events. Examples include: moving truck, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. The public space permit process is described on the DDOT website https://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the MAR Geocoder to help complete this.",2014-11-05 14:39:46+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::emergency-work-requests-via-ddot-tops,Dead Animal Pickup in Last 30 Days,This data sets shows emergency work requests from DDOT's Transportation Online Permitting System. https://tops.ddot.dc.gov/,2014-11-05 15:28:00+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::tops-map-viewer,ProTrack Project Polygon,Locate a permit by address or filter by Ward. Use your device current location to find a permit nearby. The application will zoom to the location on the map and relevant information about the permit or pending permits will display.,2015-02-25 20:24:15+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commissions-from-2013,Container Removal in Last 30 Days,"Advisory Neighborhood Commissions (ANCs) are collections of Single Member Districts (SMDs). ANCs allow input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies. This data set reflects the boundaries approved by the DC Council in May, 2012, for official 2013 ANCs. ANC's consider a wide range of policies and programs affecting their neighborhoods. These include traffic, parking, recreation, street improvements, liquor licenses, zoning, economic development, police protection, sanitation and trash collection, and the District's annual budget. No public policy area is excluded from the purview of the Advisory Neighborhood Commissions. The intent of the ANC legislation is to ensure input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies.",2015-02-27 19:20:15+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commissions-from-2002,Leaf Collection Streets,"Advisory Neighborhood Commissions or ANC's are collections of Single Member Districts or SMD's. There are multiple ANC's for each of the eight Wards. The initial number of ANC codes correspond to the ward. Three ANC's cross ward boundaries; 3C, 3G and 6D, the remaining do not. ANC's consider a wide range of policies and programs affecting their neighborhoods. These include traffic, parking, recreation, street improvements, liquor licenses, zoning, economic development, police protection, sanitation and trash collection, and the District's annual budget. No public policy area is excluded from the purview of the Advisory Neighborhood Commissions. The intent of the ANC legislation is to ensure input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies.",2015-02-27 19:20:16+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commission-from-1990,Trash Collection - Last 30 Days,"Advisory Neighborhood Commission (ANC) polygons. This dataset contains polygons representing ANC boundaries in 1990, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. These political jurisdictions were identified from public records, including published maps and written legal descriptions and heads-up digitized from the snapbase.",2015-02-27 19:20:17+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::architect-of-the-capitol,Recycling Requested - Last 30 Days,"Architect of the Capitol jurisdiction boundary. The dataset contains locations and attributes of the Architect of the Capitol jurisdiction boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was identified from public records (including the Architect's http://www.aoc.gov/cc/cc_map.htm ) and heads-up digitized using a combination of the 1995/1999 orthophotographs and planimetric roads features.",2015-02-27 19:20:18+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::central-employment-areas,Traffic Signal Maintenance - Last 30 Days,"The dataset includes polygons representing the location and attributes of Central Employment Area (CEA). The CEA is the core area of the District of Columbia where the greatest concentration of employment in the city and region is encouraged, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Jurisdictions were identified from public records (map and written description created by the National Capital Planning Commission) and heads-up digitized from the 1995 orthophotographs.",2015-02-27 19:20:19+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::washington-dc-boundary,Pothole in Last 30 Days,"District of Columbia boundary. The dataset is a polygon representing the District of Columbia boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was identified from public records and heads-up digitized using a combination of the 1995 orthophotographs, planimetric roads features, and the USGS digital raster graphic quad sheets, and 1999 planimetrics for the Potomac River boundary.Also see the District's Boundary Stone markers.",2015-02-27 19:20:21+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dc-quadrants,Emergency No Parking Verification in Last 30 Days,"District of Columbia quadrants. The dataset contains locations and attributes of the District of Columbia quadrants, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.The DCQuadPly was updated in January 2022 in the three following areas: 1) South Capitol Street has had major changes in its location due to the Frederick Douglass Bridge Project. These changes include the actual South Capitol Street Bridge and the adjacent new ovals to the north and south. The new quadrant boundary generally runs along the median of South Capitol Street. There is a small triangular area that is south of the north oval and also west of the South Capitol Street bridge which is in fact part of the Southeast quadrant. 2) boundary was redrawn around 1 HAWAII AVENUE NE so that the address is located in the NE quadrant. 3) Small adjustment of the boundary by Kansas Avenue NW.",2015-02-27 19:20:22+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::ddot-central-business-district,Scheduled Yard Waste in Last 30 Days,Central Business District for the DC Department of Transportation.,2015-02-27 19:20:22+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::washington-dc-boundary-stone-polygon,Sign Removal- Last 30 Days,"District of Columbia boundary. The dataset is a polygon representing the District of Columbia boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was created by connecting all of the boundary stone locations into a single polygon.",2015-02-27 19:20:23+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dpw-parking-beats,DC COVID-19 Vaccine Supply,"Parking Beats. The dataset contains Department of Public Works Parking Beats, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. OCTO staff, in consultation with DPW, heads-up digitized the routes, with the SIS street centerlines as a background, utilizing source maps and staff resources",2015-02-27 19:20:24+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::neighborhood-clusters,DC COVID-19 Outbreaks,"This data set describes Neighborhood Clusters that have been used for community planning and related purposes in the District of Columbia for many years. It does not represent boundaries of District of Columbia neighborhoods. Cluster boundaries were established in the early 2000s based on the professional judgment of the staff of the Office of Planning as reasonably descriptive units of the City for planning purposes. Once created, these boundaries have been maintained unchanged to facilitate comparisons over time, and have been used by many city agencies and outside analysts for this purpose. (The exception is that 7 “additional” areas were added to fill the gaps in the original dataset, which omitted areas without significant neighborhood character such as Rock Creek Park, the National Mall, and the Naval Observatory.) The District of Columbia does not have official neighborhood boundaries. The Office of Planning provides a separate data layer containing Neighborhood Labels that it uses to place neighborhood names on its maps. No formal set of standards describes which neighborhoods are included in that dataset.Whereas neighborhood boundaries can be subjective and fluid over time, these Neighborhood Clusters represent a stable set of boundaries that can be used to describe conditions within the District of Columbia over time.",2015-02-27 19:20:26+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::no-fly-zones,DC COVID-19 Vaccine Coverage by Ward,"No fly zones. The dataset contains locations and attributes of P56A and P56B flight restrictions in the District of Columbia, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the National Geospatial-Intelligence Agency (NGA) identified P56A and P56B flight restrictions in DC. The data specifically comes from NGA's Digital Aeronautical Flight Information File (DAFIF). METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27 19:20:27+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-2002,Graffiti Removal in Last 30 Days,District of Columbia Single Member District (SMD) boundaries. This dataset contains lines representing advisory neighborhood commission (ANC) single member districts (SMDs) in 2002.,2015-02-27 19:20:29+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-2013,Exposure Activities Event Size,"Single Member District or SMD's. Single Member Districts (SMDs) were created pursuant to legislation approving the District of Columbia's Home Rule charter in 1973. These neighborhood groups provide the District electorate with grass-roots experience in the electoral process. These SMDs boundaries, developed by the DC Council, are based on the 2010 Census of the District's population, with each SMD having approximately 2,000 residents. Representatives elected to each Single Member District sit as Advisory Neighborhood Commissioners. This data set reflects the boundaries approved by the DC Council in May, 2012, for official 2013 SMDs.",2015-02-27 19:20:29+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::supermarket-tax-incentives,Automated Traffic Enforcement,"Through the Supermarket Tax Exemption Act of 2000, the District waives certain taxes and fees to supermarkets that locate in specific neighborhoods. The incentive encourages investment in areas lacking access to groceries and fresh food. This map displays the eligible areas for supermarkets to locate and be eligible for the tax incentives. For more information: https://beta.code.dccouncil.us/dc/council/code/titles/47/chapters/38/. A dataset provided by the Office of the Deputy Mayor for Planning and Economic Development and the Office of Planning, identified eligible locations as identified in the Food, Environmental, and Economic Development in the District of Columbia Act of 2010.",2015-02-27 19:20:30+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-1990,Adopt a Block Cleanup Events,"District of Columbia Single Member District (SMD) boundaries. This dataset contains lines representing advisory neighborhood commission (ANC) single member districts (SMDs) in 1990. The data was created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. ANC SMDs were identified from public records, including published maps and written legal descriptions and heads-up digitized from 1995/1999 orthophotographs",2015-02-27 19:20:30+00:00,"April 15, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::tile-index-for-2017,Tile Index for 2017,"The 2017 tile index boundaries created at a scale of 1:1200. The dataset contains polygons used to partition the DC area into delivery units for planimetric mapping projects, including the 2018 Lidar capture. Boundary geometries were updated for 2017 orthophoto capture. Adjusted the corners of the 11 tiles slightly outward to have all of them be evenly divisible by the GSD, the adjustment was only a few centimeters, an example is tile 2920 which was 800x800.901m (10000x10011.26 pixels) and adjusted to 800x800.96m (10000x10012 pixels).",2015-02-27 19:20:31+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::targeted-employment-area,Targeted Employment Area,"Targeted Employment Areas. The dataset contains locations and attributes of Targeted Employment Area, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.",2015-02-27 19:20:31+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::voting-precinct-2012,Voting Precinct 2012,Voting Precincts 2012. The dataset contains polygons representing District of Columbia voting precinct boundaries. Precincts were changed based on the ward redistricting following the 2010 census. Precincts were established by the DC Board of Elections and Ethics (DC BOEE) and created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.,2015-02-27 19:20:32+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::voting-precinct-2008,Voting Precinct 2008,"Voting Precincts 2008. The dataset contains polygons representing District of Columbia voting precinct boundaries. Precincts were changed based on the ward redistricting following the 2000 census, and changes for 2002. Precincts were established by the Board of Elections and Ethics and created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.",2015-02-27 19:20:33+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::voting-precinct-2002,Voting Precinct 2002,"Voting Precincts 2002. The dataset contains polygons representing District of Columbia voting precinct boundaries. Precincts were changed based on the ward redistricting following the 2000 census, and changes for 2002. Precincts were established by the Board of Elections and Ethics and created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.",2015-02-27 19:20:33+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::wards-from-2012,Wards from 2012,"2012 Wards. The dataset contains polygons representing boundaries of District of Columbia 2012 election wards, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The DC Office of Planning provided the boundaries to the DC GIS program.",2015-02-27 19:20:34+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::voting-precinct-1990,Voting Precinct 1990,"1990 Voting Precincts. The dataset contains polygons representing boundaries of District of Columbia voting precincts, established in 1992 (based on the Wards redistricted due to the 1990 Census) by the Board of Elections and Ethics. This data was created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Precincts were identified from public records (DC Board of Elections and Ethics) and initially created selecting street arcs from the WGIS planimetric Street centerlines and, where necessary, heads-up digitized from the 1995 orthophotographs.",2015-02-27 19:20:34+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::wards-from-1992,Wards from 1992,"This dataset contains polygons representing boundaries of District of Columbia's election wards, used from 1992 to 2001.",2015-02-27 19:20:35+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::wards-from-2002,Wards from 2002,"This dataset contains polygons representing boundaries of District of Columbia's election wards, used from 2002 to 2011.",2015-02-27 19:20:35+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::construction-permit-boundary,Construction Permit Boundary,The city has been disected into twenty-two (22) sections referred to as Construction Permits Boundaries or Inspectors' Boundaries. These boundaries are intended to be used to aid inspectors/supervisors asign permits within set boundaries to the appropriate persons.,2015-02-27 19:20:36+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::obstructed-areas,Obstructed Areas,"Obscured Areas. The dataset contains polygons representing planimetric obscured areas, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). These features were originally captured in 2015 and updated in 2017, 2019, and 2021.",2015-02-27 19:20:37+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::bank-locations,Bank Locations,"Banking locations provided by the Department of Insurance Securities and Banking (DISB). The Banking Bureau of the Department of Insurance, Securities and Banking (DISB) regulates District of Columbia Chartered Banks, mortgage companies and consumer finance companies. The Bureau strives to ensure a sound and thriving financial services community that provides the products, credit and capital vital to the needs of District of Columbia residents and businesses. DISB charters and regulates District of Columbia banks and other DC depository financial institutions. DISB also regulates non-depository financial institutions such as mortgage lenders and brokers, money transmitters, consumer finance companies and check cashers. The data is updated is irregularly updated as needed.",2015-02-27 20:36:06+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::farmers-market-locations,Farmers Market Locations,A dataset containing locations of farmers markets in Washington DC.,2015-02-27 20:36:07+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::check-cashing-locations,Check Cashing Locations,"Check Casher locations without payday lending authority. The dataset contains locations and attributes of check cashers provided by the Department of Insurance, Securities, and Banking.",2015-02-27 20:36:07+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::gas-stations,Gas Stations,The dataset contains locations and attributes of Gas Stations provided by the Department of Energy and Environment.,2015-02-27 20:36:08+00:00,
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::grocery-store-locations,Grocery Store Locations,"We started with ABRA's definition of “Full-Service Grocery Stores” (https://abra.dc.gov/page/full-service-grocery-stores– pulled from the Food System Assessment below), and using those criteria, determined locations that fulfilled the categories in section 1 of the definition.Then, we reviewed the Office of Planning’s Food System Assessment (https://dcfoodpolicycouncilorg.files.wordpress.com/2019/06/2018-food-system-assessment-final-6.13.pdf) list in Appendix D, comparing that to the created from the ABRA definition, which led to the addition of a few more examples that meet or come very close to the full-service grocery store criteria. Here’s the explanation from OP regarding how they came to create their list:“To determine the number of grocery stores in the District, we analyzed existing business licenses in the Department of Consumer and Regulatory Affairs (2018) Business License Verification system (located at https://eservices.dcra.dc.gov/BBLV/Default.aspx). To distinguish grocery stores from convenience stores, we applied the Alcohol and Beverage Regulation Administration’s (ABRA) definition of a fullservice grocery store. This definition requires a store to be licensed as a grocery store, sell at least six different food categories, dedicate either 50% of the store’s total square feet or 6,000 square feet to selling food, and dedicate at least 5% of the selling area to each food category. This definition can be found at https://abra.dc.gov/page/full-service-grocery-stores. To distinguish small grocery stores from large grocery stores, we categorized large grocery stores as those 10,000 square feet or more. This analysis was conducted using data from the WDCEP’s Retail and Restaurants webpage (located at https://wdcep.com/dc-industries/retail/) and using ARCGIS Spatial Analysis tools when existing data was not available. Our final numbers differ slightly from existing reports like the DC Hunger Solutions’ Closing the Grocery Store Gap and WDCEP’s Grocery Store Opportunities Map; this difference likely comes from differences in our methodology and our exclusion of stores that have closed.”We also conducted a visual analysis of locations and relied on personal experience of visits to locations to determine whether they should be included in the list.",2015-02-27 20:36:08+00:00,
