link,title,description,published,date_updated,date
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::zoning-map-for-dc,Pothole in Last 30 Days,"The interactive zoning map 
		allows users to determine the zoning classification for any property in 
		the District. Users can search zoning by specific address, square and 
		lot, parcel, Zoning Commission (ZC) case, or Planned Unit Development 
		(PUD), where applicable. Users can select different layers of data to 
		display on the map, and can print reports for any selected property. Users should note that when searching for a PUD, the ZC case name and
		 ZC case number reflect the most recent case name and case number 
		associated with the PUD. If you have questions, comments, or suggestions regarding the zoning map, contact the Office of Zoning at (202) 727-6311 or zoningmap@dc.gov.",2014-02-06 21:20:25+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-tree-vandalism,Recycling Requested - Last 30 Days,"Recently, several hundred street trees were injured.  This map tour provides some insight into the type of damage that occurred.  The pictures display examples of the types of wounds sustained by the trees.  All told, the District Department of Transportation's (DDOT) Urban Forestry Administration (UFA) has identified over 750 street trees that were damaged during the recent rampage.  Photographs were taken in March of 2014.  For more information about the UFA, visit http://ddot.dc.gov/page/ddot-urban-forestry.",2014-03-13 18:03:53+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::transportation-online-permitting-system-tops,Emergency No Parking Verification in Last 30 Days,"This online system enables home owners, tenants, and businesses alike to apply for the specific type of public space occupancy. These include construction, excavation, annual or rental permit required for use of the public space. TOPS can also assist developers in need of a zoning plan review through the Development Review Branch.",2014-07-15 17:48:22+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::our-diverse-canopy,Scheduled Yard Waste in Last 30 Days,"The District of Columbia is home to a very diverse tree canopy, but it is not self-sustaining.  In order to promote overall canopy health, ensure tree diversity, and match each new planting to a suitable planting site, the city's Urban Forestry Administration chooses the best available tree from a selection of 130 species and cultivars. The following presentation will introduce readers to the trees that make the District of Columbia's canopy unique.Washington, DC stands apart from most other US cities when it comes to trees. Trees were considered so essential that they were included as an integral part of Pierre L'Enfant's original design. The L'Enfant Plan, drafted in 1791, reserved space in the public right-of-way exclusively for trees and DC remains the ""City of Trees."" Agency Website.",2014-09-09 15:06:46+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::sidewalk-cafe-inspections,Sign Removal- Last 30 Days,The dataset contains locations and attributes of sidewalk cafes provided by the District Department of Transportation. These came from DDOT's Transportation Online Permit System (TOPS).,2014-10-29 20:30:12+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vending-zones,Parking Enforcement in the Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vendor-locations,Rodent Inspection and Treatment in Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vendor-zones-and-locations,Tree Inspection in the Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::special-tree-permit,Sanitation Enforcement - Last 30 Days,"This dataset provides applications for special tree removal.  Special trees are defined as having a circumference equal to or greater than 44”. Prior to their removal, a permit must be obtained from DDOT’s Urban Forestry Division. More details on the application process can be found by visiting: https://ddot.dc.gov.",2014-10-30 15:53:20+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::annual-public-space-rental-permits,Exposure Activities Event Setting,Annual Public Space Rental Permits,2014-10-30 16:10:02+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::occupancy-permits-via-ddot-tops,Construction Permits in the Last 30 Days,The District Department of Transportation has management and oversight responsibility for the use and occupancy of the public space.  This data sets shows occupancy permits from DDOT's Transportation Online Permitting System. https://tops.ddot.dc.gov/,2014-11-05 14:06:54+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::construction-permits-via-ddot-tops,Tree Trimming in Last 30 Days,"The dataset contains locations and attributes of above ground permits applied for and approved by the District Department of Transportation. They are newly occupied constructions and events. Examples include: moving truck, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. The public space permit process is described on the DDOT website https://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the MAR Geocoder to help complete this.",2014-11-05 14:39:46+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::emergency-work-requests-via-ddot-tops,Recycling Bin in Last 30 Days,This data sets shows emergency work requests from DDOT's Transportation Online Permitting System. https://tops.ddot.dc.gov/,2014-11-05 15:28:00+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::tops-map-viewer,Grass & Weeds Mowing in Last 30 Days,Locate a permit by address or filter by Ward. Use your device current location to find a permit nearby. The application will zoom to the location on the map and relevant information about the permit or pending permits will display.,2015-02-25 20:24:15+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commissions-from-2013,Street Markings - Last 30 Days,"Advisory Neighborhood Commissions (ANCs) are collections of Single Member Districts (SMDs). ANCs allow input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies. This data set reflects the boundaries approved by the DC Council in May, 2012, for official 2013 ANCs. ANC's consider a wide range of policies and programs affecting their neighborhoods. These include traffic, parking, recreation, street improvements, liquor licenses, zoning, economic development, police protection, sanitation and trash collection, and the District's annual budget. No public policy area is excluded from the purview of the Advisory Neighborhood Commissions. The intent of the ANC legislation is to ensure input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies.",2015-02-27 19:20:15+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commissions-from-2002,Street/Alley Repair - Last 30 Days,"Advisory Neighborhood Commissions or ANC's are collections of Single Member Districts or SMD's. There are multiple ANC's for each of the eight Wards. The initial number of ANC codes correspond to the ward. Three ANC's cross ward boundaries; 3C, 3G and 6D, the remaining do not. ANC's consider a wide range of policies and programs affecting their neighborhoods. These include traffic, parking, recreation, street improvements, liquor licenses, zoning, economic development, police protection, sanitation and trash collection, and the District's annual budget. No public policy area is excluded from the purview of the Advisory Neighborhood Commissions. The intent of the ANC legislation is to ensure input from an advisory board made up of the residents of the neighborhoods directly affected by government action. The ANCs are the body of government with the closest official ties to the people in a neighborhood. ANCs present their positions and recommendations on issues to various District government agencies, the Executive Branch, and the Council. They also present testimony to independent agencies, boards and commissions, usually under rules of procedure specific to those entities. By law, the ANCs may also present their positions to Federal agencies.",2015-02-27 19:20:16+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::advisory-neighborhood-commission-from-1990,Bulk Collection - Last 30 Days,"Advisory Neighborhood Commission (ANC) polygons. This dataset contains polygons representing ANC boundaries in 1990, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. These political jurisdictions were identified from public records, including published maps and written legal descriptions and heads-up digitized from the snapbase.",2015-02-27 19:20:17+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::architect-of-the-capitol,FEMS Service Requests in Last 30 Days,"Architect of the Capitol jurisdiction boundary. The dataset contains locations and attributes of the Architect of the Capitol jurisdiction boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was identified from public records (including the Architect's http://www.aoc.gov/cc/cc_map.htm ) and heads-up digitized using a combination of the 1995/1999 orthophotographs and planimetric roads features.",2015-02-27 19:20:18+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::central-employment-areas,Exposure Activities All Activity Trends,"The dataset includes polygons representing the location and attributes of Central Employment Area (CEA). The CEA is the core area of the District of Columbia where the greatest concentration of employment in the city and region is encouraged, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Jurisdictions were identified from public records (map and written description created by the National Capital Planning Commission) and heads-up digitized from the 1995 orthophotographs.",2015-02-27 19:20:19+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::washington-dc-boundary,Exposure Activities Number of Activities,"District of Columbia boundary. The dataset is a polygon representing the District of Columbia boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was identified from public records and heads-up digitized using a combination of the 1995 orthophotographs, planimetric roads features, and the USGS digital raster graphic quad sheets, and 1999 planimetrics for the Potomac River boundary.Also see the District's Boundary Stone markers.",2015-02-27 19:20:21+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dc-quadrants,Supercan - Last 30 Days,"District of Columbia quadrants. The dataset contains locations and attributes of the District of Columbia quadrants, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.The DCQuadPly was updated in January 2022 in the three following areas: 1) South Capitol Street has had major changes in its location due to the Frederick Douglass Bridge Project. These changes include the actual South Capitol Street Bridge and the adjacent new ovals to the north and south. The new quadrant boundary generally runs along the median of South Capitol Street. There is a small triangular area that is south of the north oval and also west of the South Capitol Street bridge which is in fact part of the Southeast quadrant. 2) boundary was redrawn around 1 HAWAII AVENUE NE so that the address is located in the NE quadrant. 3) Small adjustment of the boundary by Kansas Avenue NW.",2015-02-27 19:20:22+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::ddot-central-business-district,Public Easement Lines,Central Business District for the DC Department of Transportation.,2015-02-27 19:20:22+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::washington-dc-boundary-stone-polygon,Graffiti Removal in Last 30 Days,"District of Columbia boundary. The dataset is a polygon representing the District of Columbia boundary, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. The boundary was created by connecting all of the boundary stone locations into a single polygon.",2015-02-27 19:20:23+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dpw-parking-beats,Building Permits in Last 30 Days,"Parking Beats. The dataset contains Department of Public Works Parking Beats, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. OCTO staff, in consultation with DPW, heads-up digitized the routes, with the SIS street centerlines as a background, utilizing source maps and staff resources",2015-02-27 19:20:24+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::neighborhood-clusters,Sex Offender Registry,"This data set describes Neighborhood Clusters that have been used for community planning and related purposes in the District of Columbia for many years. It does not represent boundaries of District of Columbia neighborhoods. Cluster boundaries were established in the early 2000s based on the professional judgment of the staff of the Office of Planning as reasonably descriptive units of the City for planning purposes. Once created, these boundaries have been maintained unchanged to facilitate comparisons over time, and have been used by many city agencies and outside analysts for this purpose. (The exception is that 7 “additional” areas were added to fill the gaps in the original dataset, which omitted areas without significant neighborhood character such as Rock Creek Park, the National Mall, and the Naval Observatory.) The District of Columbia does not have official neighborhood boundaries. The Office of Planning provides a separate data layer containing Neighborhood Labels that it uses to place neighborhood names on its maps. No formal set of standards describes which neighborhoods are included in that dataset.Whereas neighborhood boundaries can be subjective and fluid over time, these Neighborhood Clusters represent a stable set of boundaries that can be used to describe conditions within the District of Columbia over time.",2015-02-27 19:20:26+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::no-fly-zones,Abandoned Vehicle Private - Last 30 Days,"No fly zones. The dataset contains locations and attributes of P56A and P56B flight restrictions in the District of Columbia, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the National Geospatial-Intelligence Agency (NGA) identified P56A and P56B flight restrictions in DC. The data specifically comes from NGA's Digital Aeronautical Flight Information File (DAFIF). METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27 19:20:27+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-2002,Exposure Activities Event Size,District of Columbia Single Member District (SMD) boundaries. This dataset contains lines representing advisory neighborhood commission (ANC) single member districts (SMDs) in 2002.,2015-02-27 19:20:29+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-2013,Emergency Work Requests (via DDOT TOPs),"Single Member District or SMD's. Single Member Districts (SMDs) were created pursuant to legislation approving the District of Columbia's Home Rule charter in 1973. These neighborhood groups provide the District electorate with grass-roots experience in the electoral process. These SMDs boundaries, developed by the DC Council, are based on the 2010 Census of the District's population, with each SMD having approximately 2,000 residents. Representatives elected to each Single Member District sit as Advisory Neighborhood Commissioners. This data set reflects the boundaries approved by the DC Council in May, 2012, for official 2013 SMDs.",2015-02-27 19:20:29+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::supermarket-tax-incentives,Street/Alley Lights - Last 30 Days,"Through the Supermarket Tax Exemption Act of 2000, the District waives certain taxes and fees to supermarkets that locate in specific neighborhoods. The incentive encourages investment in areas lacking access to groceries and fresh food. This map displays the eligible areas for supermarkets to locate and be eligible for the tax incentives. For more information: https://beta.code.dccouncil.us/dc/council/code/titles/47/chapters/38/. A dataset provided by the Office of the Deputy Mayor for Planning and Economic Development and the Office of Planning, identified eligible locations as identified in the Food, Environmental, and Economic Development in the District of Columbia Act of 2010.",2015-02-27 19:20:30+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::single-member-district-from-1990,Traffic Calming in Last 30 Days,"District of Columbia Single Member District (SMD) boundaries. This dataset contains lines representing advisory neighborhood commission (ANC) single member districts (SMDs) in 1990. The data was created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. ANC SMDs were identified from public records, including published maps and written legal descriptions and heads-up digitized from 1995/1999 orthophotographs",2015-02-27 19:20:30+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::public-easement-lines,Public Easement Lines,These are not to be confused with utility or private easements. They are often placed after an alley closing for traffic or access. Very few of the actual lines have been captured in this data set.,2015-02-27 21:10:11+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::building-permits-in-last-30-days,Building Permits in Last 30 Days,"The dataset contains locations and attributes of building construction and alteration permits applied for and approved by the District of Columbia Department of Buildings. These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC.",2015-04-29 17:24:53+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::sex-offender-registry,Sex Offender Registry,"Sex Offender work and home locations, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. If users want to obtain more information about sex offenders, they should go to the Sex Offender Mapping Application (https://sexoffender.dc.gov/) and download the “More Details” PDF. Data provided by the Court Services and Offender Supervision Agency identified sex offender registry providing location at the block level. https://www.csosa.gov/.",2015-04-29 17:25:06+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dead-animal-pickup-in-last-30-days,Dead Animal Pickup in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:00:57+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::graffiti-removal-in-last-30-days,Graffiti Removal in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:00:58+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::grass-weeds-mowing-in-last-30-days,Grass & Weeds Mowing in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:00:58+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::litter-can-in-last-30-days-1,Litter Can in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:01:01+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::parking-enforcement-in-the-last-30-days,Parking Enforcement in the Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:01:02+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-markings-last-30-days,Street Markings - Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:01:02+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::parking-meter-in-last-30-days,Parking Meter in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:01:03+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::pothole-in-last-30-days,Pothole in Last 30 Days,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at https://311.dc.gov, electronic and US mail service or via other methods of communication. The Office of Unified Communications (OUC)oversees the designated call center for all 311 calls and for all District 911 calls. Please also visit the DC 311 Service Request Mapwhich allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2015-04-30 13:01:04+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::recycling-bin-in-last-30-days,Recycling Bin in Last 30 Days,This data layer shows 311 Service Requests in the last 30 days for requests of a recycling bin or cart.,2015-04-30 13:01:05+00:00,"April 7, 2023",2023-04-07
